"filename", "language", "CSS", "HTML", "TypeScript", "JSON with Comments", "XML", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.css", "CSS", -59, 0, 0, 0, 0, 0, 0, 0, 0, -11, -70
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.html", "HTML", 0, -50, 0, 0, 0, 0, 0, 0, -3, -15, -68
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.css", "CSS", -257, 0, 0, 0, 0, 0, 0, 0, -11, -45, -313
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.html", "HTML", 0, -117, 0, 0, 0, 0, 0, 0, -5, -23, -145
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.ts", "TypeScript", 0, 0, -150, 0, 0, 0, 0, 0, -16, -35, -201
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inquilinos\inquilinos.component.ts", "TypeScript", 0, 0, -39, 0, 0, 0, 0, 0, -2, -16, -57
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\correo.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -5, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\correo.service.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -4, -21
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.component.css", "CSS", -192, 0, 0, 0, 0, 0, 0, 0, -5, -64, -261
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.component.html", "HTML", 0, -66, 0, 0, 0, 0, 0, 0, -2, -12, -80
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.component.ts", "TypeScript", 0, 0, -93, 0, 0, 0, 0, 0, -1, -16, -110
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.model.spec.ts", "TypeScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.model.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, 0, 0, -1, -14
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -5, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.service.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, -1, -9, -27
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\usuario.model.spec.ts", "TypeScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\usuario.model.ts", "TypeScript", 0, 0, -32, 0, 0, 0, 0, 0, 0, -1, -33
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\mis-deudas\mis-deudas.component.css", "CSS", -32, 0, 0, 0, 0, 0, 0, 0, 0, -7, -39
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\mis-deudas\mis-deudas.component.html", "HTML", 0, -42, 0, 0, 0, 0, 0, 0, -4, -5, -51
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\mis-deudas\mis-deudas.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\mis-deudas\mis-deudas.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\modelos\deudas.ts", "TypeScript", 0, 0, -38, 0, 0, 0, 0, 0, 0, -7, -45
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\modelos\fraccionamientos.ts", "TypeScript", 0, 0, -34, 0, 0, 0, 0, 0, 0, -10, -44
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\modelos\inquilinos.ts", "TypeScript", 0, 0, -20, 0, 0, 0, 0, 0, 0, -1, -21
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\modelos\propiedades.ts", "TypeScript", 0, 0, -20, 0, 0, 0, 0, 0, 0, -1, -21
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\modelos\usuarios.ts", "TypeScript", 0, 0, -47, 0, 0, 0, 0, 0, -2, -10, -59
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\not-found\not-found.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\not-found\not-found.component.html", "HTML", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\not-found\not-found.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\not-found\not-found.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\notificaciones-usuarios\notificaciones-usuarios.component.css", "CSS", -44, 0, 0, 0, 0, 0, 0, 0, 0, -9, -53
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\notificaciones-usuarios\notificaciones-usuarios.component.html", "HTML", 0, -21, 0, 0, 0, 0, 0, 0, -1, -3, -25
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\notificaciones-usuarios\notificaciones-usuarios.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
